rank,accountid,rating
1,BeterBabbit,18563
2,jeef,18512
3,Tume,18121
4,Sevel,17894
5,Slyders,17802
6,hsmt,17174
7,Леший,17068
8,kzinnii,17024
9,Bendrikus,17013
10,BaboFat,16625
11,guDDummit,16524
12,LOUDER,16511
13,ArslanPozor,16338
14,DoGBiscuit,16284
15,XQN,16278
16,Mario68,16153
17,Latzinn,16035
18,Doud78,16023
19,Maverick,15896
20,Cytro,15878
21,BQB,15721
22,FireRage,15578
23,DoozKawa,15481
24,Matsutake,15424
25,Spidy,15264
26,kekandop,15227
27,Felkeine,15225
28,SNEG,15194
29,BCEMUDACHI,15157
30,fishou,15129
31,СтоякБезДела,15059
32,Stromae,15052
33,BeNice,15051
34,Bambyk,15008
35,Gospodar,15005
36,oliech,15005
37,Montanaz0r,14873
38,Karnaval,14815
39,HaapaE,14788
40,tristrat,14726
41,huyaFritQN,14706
42,Shadybunny,14623
43,OkabeRintaro,14581
44,Rdu,14484
45,BadCookie,14450
46,SuperJJ,14383
47,VladElisha,14327
48,EsPerados,14317
49,Owlnightwalk,14251
50,huyaVv,14246
51,DayWeen,14204
52,ZengKa,14194
53,Bahyatak,14194
54,Arkantos,14173
55,Zorg,14143
56,SonOfFlame,14114
57,jkirek,14080
58,Fawh,14071
59,lagshya,14052
60,IRONQ,14029
61,ixxdeee,14016
62,KuositoVélez,14005
63,Koshchei,14004
64,Mathematics,14000
65,fcpopa,13972
66,FEDOS,13893
67,hexur,13865
68,ПрофПлейер,13850
69,Maks7K,13816
70,GAP1698,13814
71,lulu,13809
72,Twitchchat,13802
73,YingYing520,13788
74,ElStelzbocko,13731
75,LLWINNER,13724
76,AxelDaBeast,13717
77,wtybill,13673
78,Jounen,13666
79,kropio,13625
80,ハルヒ,13585
81,Petro,13536
82,Verbosl71,13499
83,Tera,13403
84,swan,13394
85,GeorgeOpec,13381
86,Mathrais,13345
87,zhongwmwm,13309
88,ADVOCATE,13300
89,VentoAureo,13275
90,NatureFolle,13259
91,mankerchief,13254
92,Physikbar,13244
93,Budilicious,13240
94,ExposingRDU,13238
95,Meeke,13227
96,Crabfisher,13215
97,saiggo16,13202
98,Kawazaki,13197
99,Lydian,13161
100,妖精兰斯洛特,13140
101,惡魔蘋果,13125
102,TheFallenOne,13072
103,Simpo,13070
104,GOTOR8,13063
105,Tommaselli,13060
106,catlamity,13037
107,sharp,13037
108,Haunted,13036
109,MaRiOsPrO,13034
110,Olinho,13023
111,cuckchromo47,13022
112,huyaSword,13020
113,Bnetplayer,13002
114,Pursuer,12982
115,kratosdigga,12981
116,waalispgm,12951
117,watermoon,12904
118,KapteinKvarg,12903
119,Agamaggan,12890
120,LukasBlohon,12872
121,huyagaoshou,12871
122,Frederdes,12852
123,Montagab,12847
124,Sinedd92,12832
125,Turna,12827
126,viv86,12822
127,ElSoloLobo,12797
128,仙居呆呆兽,12793
129,randombauer,12789
130,Amyo,12780
131,megasdante,12749
132,BenGoorYon,12742
133,Agathe,12681
134,DempseyRoll,12669
135,Whimi,12668
136,Raist,12661
137,TigreSpettro,12655
138,vgavno2,12622
139,Shadoxic,12615
140,McFarquhar,12577
141,Fochi,12577
142,Att,12531
143,agent,12507
144,Skiedam,12447
145,Thunder,12435
146,Inopon,12433
147,HGL223,12427
148,Paulcino,12424
149,MAJOR,12415
150,乌镇舔龙,12405
151,Gubben,12375
152,Medvedb,12374
153,Deypa,12368
154,Zawak,12356
155,kuurby,12352
156,Tedjuro,12341
157,,12333
158,HSCoolStream,12311
159,JuanBezBar,12300
160,alesha,12293
161,POM,12290
162,lebourj,12289
163,Chewboy21,12274
164,n14,12264
165,Morgloth19,12256
166,clearlove7,12255
167,Chelibomber,12251
168,Yatech,12250
169,jbc0c4,12249
170,ShrekIsLove,12248
171,Dancezelap,12238
172,AlboStyle,12231
173,Pyrok4,12228
174,injouable,12221
175,Norki,12203
176,不负月烨不负歆,12183
177,lndeep119110,12177
178,BHC4,12173
179,bercony,12172
180,Darnell,12122
181,TortueGénial,12118
182,Bananabg,12116
183,Yolotrolboy,12113
184,polskikabak,12100
185,nocre1992,12098
186,darkvalda,12087
187,guldregn,12082
188,Zanil,12075
189,Skalmanleif,12069
190,Jaksal,12060
191,Hector,12056
192,Mortyprats,12048
193,eCans,12041
194,Asso32,12039
195,Alones,12025
196,Vasilechen,12019
197,ROLLTHEDICE,12018
198,onnensanat,12016
199,hardgate,12013
200,NinjaBanane,12004
201,DapperDan,12002
202,NameX,12002
203,Sohigh,11986
204,H0D3NS4CK,11982
205,DenMuchel,11979
206,frink79,11978
207,沉默寶劍,11976
208,пронзаяДушу,11967
209,Elementomega,11960
210,succersn,11952
211,Ortapepe,11944
212,Dopamine,11927
213,PewQ,11914
214,Morozan,11910
215,Perf,11892
216,Госпожа,11887
217,Dnepr,11873
218,monkey,11868
219,yanousama,11865
220,Sebi,11859
221,HysteriA,11859
222,JFR,11855
223,Regis,11850
224,woody,11837
225,Warmstorm,11833
226,AndRowling,11819
227,酒馆岂是装逼之地,11794
228,МощныеШтаны,11790
229,BoardKing,11771
230,星河,11764
231,Вупсень,11760
232,corti,11758
233,Mathkb,11736
234,gabishi,11728
235,snow,11727
236,Agent37,11714
237,FunkyTown,11702
238,АнальныйСон,11694
239,Johnboy,11688
240,megusto,11676
241,gogoman,11674
242,Nathaniel,11669
243,zoop,11667
244,EnjoYourlife,11660
245,Bartellini,11656
246,Maguire,11635
247,Krebbo,11633
248,Tweety,11622
249,Mark,11616
250,yerolo,11612
251,BattlePants,11611
252,Malisar,11605
253,BootyBread,11605
254,SilverName1,11593
255,GasPArtiste,11590
256,Djeloww,11580
257,YEP,11571
258,ecaflop,11565
259,Zbynda,11559
260,Rafael,11549
261,wallaz,11536
262,al000dq7,11535
263,Albertus,11528
264,tchu,11519
265,mesolstii,11508
266,BillMurray,11502
267,FLMargatroid,11498
268,MrBielsa,11496
269,Elacour,11495
270,crauti,11487
271,Thund3r,11483
272,Brankz,11480
273,理智的棕色蝙蝠,11466
274,Dantanmanu,11466
275,SirBali,11466
276,壞壞熊公仔,11461
277,Hyperion,11457
278,Rinne,11456
279,Codu,11454
280,Pun,11452
281,IlDavis,11449
282,Leylaa,11436
283,Gruve,11433
284,Seynar,11424
285,Yurniro,11415
286,Amroth,11412
287,Astrosfanrus,11407
288,SylfeSARL,11406
289,Naisu,11400
290,watchmewhip,11394
291,ArenaLord,11392
292,JeppeLund,11387
293,PotatoSTK,11381
294,МилягаЭлекк,11379
295,Discovery,11379
296,Underclass,11376
297,Simalaja,11366
298,turtletom,11362
299,BrokeEkknud,11353
300,jerzeppp,11351
301,crabik,11340
302,TheDoc,11336
303,goku,11327
304,Kolmion,11321
305,Nvrmd,11318
306,Ejdison,11317
307,Breehze,11305
308,MeowLazy,11296
309,TPD11,11295
310,Nohardfeels,11293
311,Ziodyne,11292
312,Slib,11288
313,Airkeny,11285
314,IQHlebyshka,11280
315,ChiefZ,11277
316,VityaProof,11272
317,NitroNick,11260
318,YourDream,11259
319,GevuldeKoek,11259
320,一蓝一,11254
321,TheCultured1,11253
322,ЗлюкаМаг,11252
323,Darkan,11250
324,XduDesperado,11245
325,peavtea,11244
326,IamGgAaYy,11244
327,Насекомое,11233
328,Zimu,11228
329,Swegun,11225
330,BobbySterio,11222
331,Kriptix,11221
332,Blizzaars2,11214
333,deadline,11212
334,MDrugDealer,11212
335,akanid,11204
336,Среброкрыл,11202
337,AKPsynix,11198
338,Epiroes,11198
339,Asesino,11195
340,Dizdemon,11191
341,Schnitzler,11183
342,Lilshuan,11181
343,MarkOFF,11179
344,mega,11173
345,Ronsu,11163
346,Capricorn,11161
347,schachie,11155
348,MaxSayUHHH,11153
349,maks20k,11148
350,JackSwag,11147
351,Глеб,11145
352,guiismo,11136
353,YayaFurer,11134
354,MrHeisenberg,11133
355,Haroun,11132
356,PizzaDog,11130
357,MeSKaPe,11126
358,ЧестныйГад,11123
359,Nightwalk,11123
360,Dieudépatron,11122
361,Paiolomagico,11121
362,Archeron5842,11115
363,Serrsh,11111
364,Gonzolopez,11108
365,MiniNinja,11103
366,Jackson,11101
367,Vithaliy,11101
368,ZloyZHirafik,11101
369,tuV,11098
370,Gtoad,11098
371,Pezzo,11097
372,Kills,11092
373,mako,11087
374,danimal1408,11084
375,Radere,11084
376,GunterKir,11083
377,ripulipaska,11078
378,Blahblahblah,11078
379,DeepSabbath,11076
380,Methevas,11076
381,TouchMyBody,11060
382,TheEnclase,11054
383,PtiOn,11049
384,RaVVaR,11048
385,Ogiez,11045
386,gotenks5563,11044
387,derpinyou,11038
388,Doomfist,11036
389,MistaMafiosi,11036
390,Habibula,11035
391,leblanc7,11035
392,Tormento,11033
393,Baduf,11026
394,FalafelBill,11025
395,raftonsensei,11025
396,Treyda,11020
397,MiXerr,11019
398,SantaClaus,11019
399,Rovarrs,11018
400,Derong,11018
401,Alina,11009
402,Firegill,11007
403,TrueBench,11005
404,clamox,11003
405,Zhenya163,11003
406,Kira,10999
407,Yunand,10999
408,Fourmizzz0,10987
409,Wembanyama,10981
410,风止尘嚣,10975
