rank,accountid,rating
1,jeef,19090
2,Waterloooooo,18709
3,herusia,17117
4,hsmt,16655
5,awedragon,16639
6,BeterBabbit,16155
7,dog,16051
8,Lyme,16039
9,kokkolino,16020
10,あばれるくん,15669
11,puloof,15423
12,四季ナツメ,15385
13,Mee,15335
14,Matthew,15084
15,BeachBrain,15021
16,ToumaKazusa,15010
17,Zorg,14962
18,Sun,14852
19,Lamb,14777
20,リュウ,14770
21,LuckySniper,14670
22,ZoinhU,14582
23,Asmodai,14523
24,yjames27,14428
25,mmf,14348
26,JimmyRustle,14329
27,Lii,14249
28,matt,14131
29,Rechot,14099
30,Zonda,14056
31,Wsbbbbb,14040
32,Itim,14010
33,DumplingDan,13955
34,Kingdra,13952
35,kolooc,13833
36,Baneswolfcry,13741
37,Airy0,13691
38,Cyru,13667
39,Akari,13629
40,An1honysch2,13625
41,FengShui,13623
42,itsdametime,13620
43,Rice,13582
44,HapaBear,13547
45,lotteria,13543
46,Pieguy,13515
47,Dandan,13485
48,SoItSeemS,13448
49,wosunheizhu,13421
50,BeautyHu,13412
51,strawberral,13381
52,Huehue,13364
53,diffROY,13345
54,Aaron,13314
55,Sohigh,13298
56,Fraz,13295
57,AresWang,13272
58,zxcsed,13237
59,halfrican,13235
60,Huntressrose,13232
61,MooshRum,13227
62,UnderShadow,13223
63,rcvfbgbnhtbg,13207
64,Sameer,13195
65,Clueless,13169
66,WENightwalk,13166
67,Nickle,13165
68,HurryMyCurry,13159
69,SWGreenTea,13119
70,Chimonaa1,13108
71,EbonThief,13097
72,Boss,13075
73,DapperDan,13064
74,yilingsama,13039
75,babyAna14n,13027
76,Leven,13025
77,HapaIsTilted,13017
78,QueSeraSera,13011
79,JvJnc,13008
80,Imfiredup,12995
81,CNcutyLeo,12931
82,Ben,12924
83,ネゲター,12912
84,inCense123,12890
85,Aldephin,12881
86,JashinChan,12869
87,cowboy,12857
88,Uzz,12836
89,Cong,12833
90,MoltenGames,12806
91,BenRen,12771
92,Duongdaidot,12723
93,Threebody,12650
94,TwentyFifth,12628
95,FirmBagels,12614
96,MadHops,12608
97,DBlitz,12565
98,DrMaoMao,12565
99,BarsellinO,12562
100,emotionless,12559
101,LCL,12516
102,Tone,12505
103,erhswimming,12501
104,Phantomnai8,12483
105,Waley,12481
106,Arceus,12471
107,much2pro4you,12458
108,ロッゾ,12448
109,YEAHBUDDY,12447
110,Pingu,12434
111,pacman,12400
112,twitchmokxh,12376
113,Harden13GOAT,12367
114,BlazeVenom,12367
115,Blirby,12365
116,Mikoko,12337
117,Grumpey,12330
118,amvega,12325
119,Dibs,12298
120,AnthonyRitz,12281
121,PokemonRun,12275
122,claws,12262
123,XE098,12254
124,Gin,12253
125,Volibear,12248
126,Williamking,12245
127,Mikmik,12240
128,cowboy,12218
129,Dragonfires,12209
130,oljackburton,12202
