rank,accountid,rating
1,LOUDER,17133
2,XQN,17045
3,jeef,17024
4,huyagaoshou,16190
5,Cytro,16038
6,LiZi,15507
7,Tume,15446
8,guDDummit,15391
9,Agamaggan,15278
10,Sevel,15244
11,Daisy,15197
12,saflaaa,15048
13,Zorg,15021
14,jak3enight,15010
15,Bendrikus,15000
16,wtybill,14991
17,BaboFat,14850
18,shencangBLUE,14834
19,Budilicious,14645
20,BoardKing,14638
21,huyaSword,14561
22,zhongwmwm,14529
23,惡魔蘋果,14468
24,viv86,14408
25,Slyders,14406
26,dog,14398
27,ixxdeee,14361
28,仙居呆呆兽,14259
29,ZengKa,14143
30,Gospodar,14143
31,Šnusmümriken,14090
32,Juvichi,14084
33,Shadybunny,14078
34,Seniorheld,14068
35,QuilboarTTV,14036
36,petrovic,14033
37,huyaJeff,14015
38,Maks7K,13983
39,理智的棕色蝙蝠,13903
40,SuperJJ,13892
41,Nightwalk,13857
42,Леший,13793
43,Rdu,13762
44,oliech,13719
45,Mx1,13716
46,Mario68,13646
47,DayWeen,13611
48,Havefun,13584
49,waalispgm,13578
50,naylek,13544
51,Cure,13533
52,Nef1ida,13468
53,Zayrox,13405
54,Tera,13396
55,LeiO,13390
56,Pun,13334
57,Fawh,13326
58,Filpek,13325
59,L13,13253
60,Sinedd92,13223
61,Maverick,13213
62,罗尼的黑丝秘书,13204
63,ashenone,13201
64,johnnyboy,13165
65,Felkeine,13148
66,,13126
67,RyanGosling,13119
68,MiSHanyA,13103
69,Scorlio67,13098
70,Sorren,13059
71,kaito1412,13034
72,LKTT,13029
73,JeppeLund,13029
74,Comey,13024
75,CNNB,13004
76,Romanno,13004
77,west13,12985
78,ADVOCATE,12975
79,zed,12957
80,Cloud,12935
81,OkabeRintaro,12898
82,Alones,12891
83,forevermoon,12879
84,LukasBlohon,12878
85,BenGoorYon,12876
86,XduDesperado,12867
87,BadPlayer,12823
88,moyi,12803
89,iGXc,12776
90,Midgeamoo,12747
91,LuNotFound,12746
92,按钮,12733
93,HSDog,12721
94,TeZcat,12720
95,YEPBENIS,12697
96,BOJIK,12691
97,Destroyer68,12677
98,Pursuer,12673
99,МощныеШтаны,12673
100,totemi,12669
101,DeepSabbath,12669
102,Shadoxic,12637
103,L3bjorge,12615
104,VentoAureo,12614
105,dmccabe,12611
106,Hafu,12602
107,Nvrmd,12578
108,yangyang,12577
109,AKHTK,12551
110,Fritterus,12548
111,flowercat,12537
112,DZCWADLN,12529
113,xixiha,12527
114,虎牙丶穷神,12526
115,Hanziqiu,12519
116,Gonzolopez,12517
117,fishou,12516
118,Tulpa,12512
119,Terablade,12509
120,DoozKawa,12502
121,MagicPants,12493
122,Spidy,12451
123,Rogojine,12438
124,ethaqnix,12431
125,Reco,12411
126,Att,12408
127,xRealDiz,12386
128,Dakew,12384
129,Chipolino,12376
130,Turtleton,12365
131,RYDZ,12361
132,ThiccAss,12358
133,NeuroBreak3,12356
134,BCEMUDACHI,12352
135,干死欧洲佬,12314
136,Caramio,12310
137,Physikbar,12305
138,Микри,12295
139,Arkantos,12292
140,天才,12284
141,YTR,12281
142,mesolstii,12259
143,Matsutake,12258
144,СерегаПират,12248
145,Tommaselli,12248
146,QuirkyOrc,12248
147,刀塔情书高手坟墓,12242
148,帅哥猛男鸡饲料,12229
149,IRONQ,12227
150,Simon,12227
151,小小鹌鹑蛋,12219
152,indefnet,12219
153,匆匆,12190
154,бодифакер,12185
155,buhuiyingyu,12169
156,KuositoVélez,12161
157,SHezhinka,12150
158,Beok,12146
159,firstly,12142
160,Turna,12142
161,靦腆的金色貓頭鷹,12134
162,Jonaqec,12130
163,xk4r1n,12124
164,sword,12111
165,Rafool,12099
166,stanley,12092
167,Razormaul,12082
168,Thund3r,12076
169,EÐÕ,12069
170,HkJnlist,12064
171,Gudwin,12063
172,sahar1337,12058
173,КрайнийВол,12057
174,Malisar,12040
175,JJRDUsniper,12028
176,JackBeam,12028
177,etjoker,12022
178,Zbynda,12015
179,Shortmeister,12006
180,bitzu,12003
181,rams,11982
182,kunlxo,11945
183,piterKID,11933
184,Unbelievable,11929
185,Gleecerine,11928
186,Phan,11926
187,sunglitters,11925
188,nisaasz,11909
189,zalph,11901
190,Owlnightwalk,11885
191,Sukinoi,11858
192,SuLiuCeRou,11858
193,Mugiwara,11856
194,elPidrinho,11846
195,XDV1906,11845
196,ShadowGu,11840
197,POM,11838
198,mega,11837
199,m0rphl1ng,11833
200,ShrekIsLove,11830
201,鎏羽,11808
202,Maimt,11806
203,CCHYY,11805
204,tuV,11794
205,卡卡罗特,11772
206,Gimli,11769
207,wystanich,11767
208,Youkounkoun,11766
209,GhosTrooper,11765
210,NeneTheZola,11759
211,BrokeEkknud,11751
212,壞壞熊公仔,11728
213,Tedjuro,11727
214,tchu,11720
215,VladElisha,11708
216,JinGangSword,11704
217,Kwlethros,11682
218,leminimoi,11678
219,dominategame,11677
220,Fuzzy,11674
221,AKM,11666
222,Alexi,11659
223,Waterloooooo,11649
224,Djeko,11642
225,Feff,11640
226,RachelAspen,11631
227,Amaretnas,11630
228,jeanjacques,11629
229,Curry,11627
230,oroff,11619
231,Manek,11610
232,EllexaFlora,11606
233,,11603
234,Bane,11602
235,Shadow,11594
236,YourCoach,11588
237,Yurniro,11587
238,Darnell,11586
239,Ihaasbut,11579
240,foglet,11575
241,SLAGATHOR,11571
242,Medvedb,11563
243,KenKen,11562
244,ilydan,11558
245,LosBollos,11558
246,vgavno2,11556
247,肉肉,11552
248,maks20k,11537
249,Zarox,11535
250,吓人嘞,11530
251,LegendHero,11527
252,Jasonlabuche,11515
253,AloeKoala,11511
254,Koxik,11496
255,StaarK,11491
256,refasdf,11489
257,August17,11485
258,疲倦的青色老鷹,11471
259,KalashEbash,11470
260,BROseidon,11468
261,SpACEKiTTeN,11468
262,Synoptic,11465
263,SuperNoVA,11446
264,PepukDurka,11431
265,kISEFAN,11430
266,LAcity,11427
267,Kirby,11422
268,Tyler,11418
269,,11415
270,Aventurier,11391
271,GAP1698,11391
272,VaKsha,11388
273,nzy,11387
274,宇智波一打七,11383
275,BillNoMercy,11379
276,Morrens,11377
277,НеЛеший,11372
278,smile,11368
279,SoulSpirit,11366
280,üüüüü,11364
281,Mi5ter8,11353
282,zer0Cachou,11343
283,xiko1024,11341
284,Deypa,11340
285,Davidll97,11337
286,人阿,11336
287,StepByStep,11336
288,PoKair,11333
289,ecaflop,11329
290,ZARDSB,11324
291,Amelex,11324
292,MrPeace,11324
293,yinfeng,11320
294,Champiflux,11319
295,Kiosy,11307
296,lagadoue,11300
297,ПапаМожет,11298
298,Detrimend,11298
299,DrunkBunny,11296
300,Physikbar,11294
301,Huyawuyanzu,11293
302,Loiz,11292
303,greygoose,11281
304,crimeking,11278
305,Weiste,11277
306,Norki,11273
307,BHC4,11271
308,李天天天天,11268
309,Gruve,11260
310,Zogoch,11259
311,Spheniscus,11258
312,Chebupelya,11256
313,woody,11251
314,ЗлюкаМаг,11250
315,NoFaCe,11249
316,thefinalzero,11243
317,ikun,11240
318,HPNH,11237
319,anwfragma,11233
320,bowli123,11230
321,klesh1,11227
322,Gnoki,11208
323,halino98765,11207
324,荀彧他不是苟或,11207
325,AZeDiG7,11207
326,,11186
327,锦瑟,11183
328,sneak3r,11180
329,Djin,11179
330,yerolo,11163
331,Greataronski,11159
332,Brdwtf,11156
333,Olinho,11140
334,Fartacus,11130
335,Happy,11124
336,沉默寶劍,11108
337,GONEXT,11108
338,WatchMeDougi,11106
339,Krugopryad,11103
340,TTVRitos123,11100
341,强丶,11098
342,Dontnou,11097
343,aki,11095
344,MetraVetangi,11090
345,dikstra,11090
346,Chelibomber,11086
347,JUEREN,11081
348,Yym,11081
349,PlumElk,11076
350,Alones,11076
351,ByMe,11075
352,itseturha,11073
353,BrunnoRicci,11071
354,Hogo,11069
355,tuggummi,11068
356,TheFallenOne,11067
357,polo,11065
358,marcinx,11063
359,red,11062
360,Hre,11062
361,Splata,11061
362,nazenaze,11060
363,Banishment,11060
364,muyi,11056
365,Slib,11055
366,Krebbo,11055
367,Verveine,11053
368,fr0s7,11053
369,Pocky,11052
370,SINNER,11050
371,Needlewars,11050
372,Carapuce,11049
373,bilibiliNEKS,11045
374,KriD,11045
375,Sodo,11042
376,Player,11041
377,storge,11040
378,gogoman,11039
379,Montanaz0r,11038
380,Laxen,11038
381,ТошноВор,11035
382,POOMPOOROOM,11031
383,Loukay,11031
384,turtletom,11030
385,GOTOR8,11030
386,Huntressrose,11029
387,ARTHUR,11025
388,Lanteros,11025
389,Toinou,11024
390,KONO29,11021
391,Mazoxist,11021
392,ArneKonda,11021
393,owen,11020
394,Vinny,11020
395,belloxbank,11018
396,TekOno,11017
397,Jarnsaxa,11014
398,Prohan,11011
399,TaiwanChina,11009
400,Stenndart,11003
401,Dazai,11003
402,光腚拉屎大王,11003
403,PLOP,11001
404,guDDummit,11000
405,Vict2706,10996
406,Dantanmanu,10992
407,ElPadron213,10990
408,Penelias,10988
409,GeorgeOpec,10983
410,Asrion,10979
411,JRV,10977
412,FlatEagle,10974
413,Mateuskov,10972
414,TSEPiggy,10968
415,DrBiquette,10965
416,AtatiS,10952
417,xxrr,10947
418,天韻灬逍遙,10946
419,Ticher,10941
420,RomaNest,10938
421,murderer,10929
422,Viadirekt,10924
423,ChibraLtar,10919
424,Kamath,10919
425,Luxxn,10917
426,ElStelzbocko,10915
427,七只羊,10914
428,succersn,10914
429,花开无落,10903
430,majestro,10903
431,artemychych,10900
432,Hobbit,10900
433,PepeWins,10899
434,vgavno1,10895
435,arcio,10893
436,秋筝,10890
437,GrandMaster,10889
438,暴雪的老父亲,10888
439,KMRK,10887
440,CrazyMage,10887
441,Wahbi,10880
442,WENighttalk,10879
443,rmkgo,10879
444,周杰伦,10876
445,LordRamillos,10869
446,Codu,10868
447,MoHS,10864
448,zshzjmz,10860
449,Ko3bIPb03,10855
450,feederal,10854
451,BobsLsurKick,10851
452,Naisu,10849
453,Varncyfans,10849
454,BadCookie,10849
455,DUCK,10848
456,Cheddarbawb,10842
457,mint,10841
458,Makkapakka,10839
459,裆下有杀气,10829
460,vikmedinite,10822
461,fufaru,10813
462,Гошиш,10810
463,Namygreedy,10806
464,dejziako,10805
465,Ronsu,10804
466,Kradas,10803
467,sjow,10801
468,KEK,10798
469,Spyrida,10796
470,Shurit,10792
471,GreaWW,10792
472,SylfeSARL,10791
473,xfisunx,10789
474,Soomie,10789
475,TomSong,10788
476,Shogun,10787
477,wazhta,10787
478,WhiteNoise,10781
479,baobo,10776
480,Ganlojaja,10776
481,BlindSniper,10775
482,Rooph1e,10775
483,WuQing,10774
484,jbc0c4,10773
485,Barbenoire,10767
486,Dare,10763
487,DioBrando,10762
488,choirzi,10760
489,jerzeppp,10760
490,Eubs,10756
491,gushen,10754
492,jnz,10754
493,skennen,10753
494,Konstant,10751
495,PANAGIA,10747
496,Burstinn,10744
497,boaZ,10738
498,Dgiforsen,10735
499,Zezu,10729
500,不胡不会玩,10724
501,papaak,10724
502,voligan,10722
503,chonghao,10720
504,Cheese,10719
505,Hunterluck,10715
506,Kolossboss,10715
507,RiceShower,10714
508,DogDogDog,10712
509,Vitamin,10712
510,Cloudy,10712
511,Keuhn,10710
512,SHIROKUN,10709
513,Link,10705
514,GufoNinja,10701
515,汝爾若,10696
516,annihilator,10695
517,milio,10689
518,randombauer,10689
519,Yunior,10687
520,RishEEL,10685
521,YingYing520,10683
522,瓦运技安,10681
523,Tiga,10679
524,MrBielsa,10678
525,Asesino,10674
526,Pock,10673
527,Vasilisk,10670
528,buten,10665
529,Jojosebb,10664
530,Javorich,10657
531,Ogiez,10657
532,k0m4,10655
533,Biggishow,10652
534,Лекс777,10651
535,HuYaSisyphus,10649
536,ImmortaL,10649
537,leMagnus,10649
538,Abver,10649
539,DingDong,10648
540,Wano,10641
541,iRossoneri,10638
542,Destiny,10637
543,Chichoas,10636
544,Morozan,10635
545,iuphul,10635
546,DeathItself,10635
547,Hoki,10633
548,shallugun,10629
549,IRIM,10623
550,Kyzmich,10623
551,EDGclearlove,10616
552,KSPU,10614
553,ghBbeLow,10614
554,Mwagu,10613
555,kochkatima,10611
556,aelegir,10610
557,FFalcon,10609
558,Lanciendugaz,10608
559,Fieldman,10606
560,deenit,10603
561,Maddo,10603
562,我又回来了,10601
563,DoctorDamage,10600
564,Sharknado,10599
565,Allesandro,10597
566,I3oris,10597
567,Veddy,10596
568,Donsalami,10594
569,Ippo,10593
570,Quutamo,10592
571,Grun07,10591
572,PanDa,10591
573,freaky,10589
574,Burger,10589
575,omrih,10588
576,LieRen,10586
577,LING,10586
578,DUKITY,10585
579,NostalGame,10585
580,Zero,10582
581,igxc,10581
582,PepperSlicer,10579
583,CoralMage,10577
584,Beldilucho,10576
585,Pheed,10575
586,GuaZi,10573
587,Mskna,10573
588,Rintar0u,10570
589,Meeke,10570
590,隱祕魷魚,10568
591,simonlanding,10565
592,Cheddar,10563
593,DoGBiscuit,10561
594,Leeuwenhoek,10560
595,emiiien,10554
596,Jeje,10551
597,fallenwizard,10548
598,MCCOOLCAT,10547
599,jfjugger,10545
600,KapteinKvarg,10544
601,Eagle51,10541
602,Ar3iii,10539
603,HyneX,10539
604,Astrosfanrus,10537
605,vomito67,10534
606,pppppppp,10532
607,JokeR,10532
608,ZeMax,10531
609,moris,10528
610,CNNobody,10518
611,Karll,10515
612,MaxSayUHHH,10515
613,diediedie,10514
614,phiLord,10514
615,Twen,10513
616,imakpots,10512
617,Naefling,10511
618,Rebirth,10511
619,Stakhanovec,10506
620,KaiserMinh,10503
621,JohnSilver,10503
622,wangtaotao66,10502
623,Genkid,10502
624,Habibula,10500
625,AllenC,10498
626,Wiseguy,10494
627,hexur,10493
628,Ar3ii,10491
629,MASTVRBARIO,10485
630,Kajlaurent,10480
631,Animafag,10478
632,Rectime,10474
633,Mannick,10474
634,Kirian,10473
635,solpaw123,10471
636,OSA,10464
637,Rumarm,10464
638,СекторГаза,10460
639,TiamatDemon,10460
640,giboom,10458
641,RomanKnight,10457
642,Turbon1ck,10455
643,Kriptix,10454
644,自信的朗姆酒色蛇,10452
645,Simba,10452
646,GOAT,10451
647,simozenk,10451
648,HW555,10448
649,kuurby,10448
650,JonteB,10446
651,Coreupt,10438
652,Brick0156,10438
653,aiz95,10436
654,Haroun,10436
655,yanousama,10432
656,Mushin,10430
657,hhh,10430
658,RubySeal,10426
659,Jimbo,10426
660,Cool,10421
661,thyme,10416
662,Stevvi,10411
663,Curse,10408
664,VVG,10407
665,Wurst,10407
666,Morty,10404
667,Fastgame,10403
668,LonelyHorse,10400
669,rejendoDS,10400
670,Taipan,10396
671,Kusbara,10395
672,bagett111,10395
673,Popcorn,10395
674,fallensnake,10391
675,破碎,10391
676,hank,10391
677,FlameInSoul,10390
678,Getgette,10390
679,unTouchable,10390
680,benayoun,10387
681,Garay2036,10386
682,Summer,10386
683,LancelotRt,10385
684,Aleph,10384
685,你爹来了,10381
686,Lychee,10380
687,Ari,10380
688,ttrCasino,10378
689,cocojambo,10378
690,Solitude,10378
691,很突然的语塞,10375
692,誠實的狗,10375
693,alatata,10375
694,MaskedRider,10374
695,MrChTouille,10374
696,Jack,10373
697,seasonal,10373
698,Underclass,10373
699,Wotamin,10370
700,Jounen,10369
701,GeorgeBailey,10362
702,LazyTitan,10360
703,CarryPotter,10359
704,霄霄,10354
705,georgiades94,10354
706,Mayher,10354
707,Ingrimmsch,10353
708,swatcol,10352
709,ЯркийМолот,10347
710,GroSSo,10346
711,ChampiPourri,10342
712,Patoulove,10341
713,Ageres,10341
714,Tavril,10341
715,Kit,10340
716,EvilArthas,10340
717,venom,10338
718,Baysuuh,10338
719,Lovelin,10337
720,Bourbonkid,10333
721,Katakuryyy,10331
722,Angrywar,10326
723,Korkhov,10325
724,JuanBezBar,10324
725,蓝桉,10315
726,Benibuma,10315
727,Zevv,10312
728,amaheartless,10308
729,MegaMan,10308
730,北凉云长长,10307
731,Lewka,10306
732,Artemov,10304
733,神經巫師,10299
734,CandySweeT,10298
735,EbonLoa,10296
736,codeinemastr,10295
737,ObviousTroll,10295
738,Nclsky,10294
739,DavidS1405,10294
740,Skulduggery,10293
741,initiate,10293
742,klouie11,10292
743,Jerssen,10292
744,Hector,10290
745,eric,10288
746,CosMarTM,10287
747,ahbus,10287
748,BrandK0SH,10285
749,Xv15,10285
750,VYCanisMajor,10284
751,Fiur,10283
752,KARTON911,10282
753,蒼白的玉色巨魔,10281
754,Solkann,10281
755,LeChameau,10279
756,Noreturn,10279
757,Sashko,10277
758,helpme,10273
759,NiHenHuiDaMa,10269
760,est123,10268
761,Jazzy,10266
762,Azyrte,10265
763,Phoey,10265
764,Slowbro,10263
765,MrDen,10263
766,tristrat,10263
767,XiaoTuDou,10261
768,TTRR,10260
769,sam3434,10259
770,Abeno,10259
771,TheWombat,10258
772,Algerstam,10258
773,酿酒师,10257
774,mucha,10256
775,Zupnik,10256
776,Akisan,10256
777,BobbySterio,10254
778,孙永佳,10253
779,bubliktv,10253
780,Ghotus,10252
781,Halethost,10251
782,Smellycurry,10250
783,Virgil,10248
784,Excalibur,10247
785,BaRT,10247
786,Turimboze,10246
787,Convexity,10244
788,APMonger,10244
789,Bobs,10244
790,FlyingJack,10242
791,chips,10241
792,Bennzke,10241
793,後来0,10239
794,Sackfresse,10238
795,Emilodon,10238
796,Mathou,10238
797,MUGI,10237
798,Guidora,10236
799,Egoist,10234
800,Mourguinho,10234
801,Sxnderjyden,10233
802,GymBoss,10233
803,Agent37,10232
804,Narutlih,10232
805,curryking1x9,10231
806,stryfes,10228
807,挺拔的灰色龍獸,10227
808,Hyyerr,10226
809,Limitless,10224
810,banjoboy,10224
811,ecanem,10223
812,peavtea,10222
813,Sh4yl,10222
814,DonFangshuo,10222
