rank,accountid,rating
1,BeterBabbit,19005
2,XQN,18695
3,ADVOCATE,18671
4,HuyaGuo,18500
5,huyaSword,18039
6,Sevel,17715
7,huyagaoshou,17538
8,LOUDER,17510
9,Tume,17075
10,DayWeen,17005
11,huyaVv,16892
12,Bendrikus,16579
13,Agamaggan,16266
14,BaboFat,15873
15,jkirek,15842
16,Леший,15725
17,Maverick,15526
18,Unbelievable,15447
19,不负月烨不负歆,15435
20,Petro,15304
21,guDDummit,15293
22,Zorg,15261
23,zed,15246
24,Slyders,15229
25,POM,15218
26,ZengKa,15192
27,kzinnii,15159
28,Thund3r,15028
29,VladElisha,14897
30,BoardKing,14862
31,惡魔蘋果,14853
32,shencangBLUE,14545
33,Felkeine,14484
34,Meracle,14441
35,goku,14415
36,BeNice,14357
37,Fritterus,14307
38,Alones,14240
39,Koshchei,14229
40,Lexin,14198
41,Хочунаручки,14143
42,BadCookie,14129
43,Warmstorm,14116
44,ArslanPozor,14104
45,XiaoTuDou,14058
46,Shadybunny,14052
47,Limitless,14041
48,Šnusmümriken,14031
49,Tera,14027
50,watermoon,14026
51,lagshya,14025
52,asfwf,14004
53,OkabeRintaro,14003
54,Rdu,14001
55,劉老師單身,13976
56,indefnet,13968
57,oliech,13968
58,Cytro,13892
59,FEDOS,13873
60,Turna,13873
61,Stromae,13854
62,clearlove7,13813
63,Physikbar,13808
64,fcpopa,13798
65,KuositoVélez,13760
66,Mathrais,13752
67,Spidy,13688
68,FireRage,13662
69,风止尘嚣,13627
70,nagad200,13619
71,BCEMUDACHI,13609
72,Ламалкинз,13605
73,SonOfFlame,13574
74,yangyang,13571
75,Yurniro,13567
76,suanbao,13562
77,zhongwmwm,13554
78,GeorgeOpec,13552
79,ixxdeee,13448
80,Gospodar,13429
81,Timoxa,13415
82,Pursuer,13414
83,Raskinz,13390
84,kuurby,13389
85,Mayday,13331
86,MDrugDealer,13323
87,Fawh,13282
88,Tinycloud,13271
89,Budilicious,13216
90,NUMB,13184
91,СуперНиндзя,13180
92,РыбныйВор,13152
93,Sinedd92,13129
94,Kolosan,13113
95,Burning,13104
96,一蓝一,13092
97,Woolveerine,13083
98,CarryPotter,13069
99,GUAGE,13055
100,megusto,13053
101,Тапок,13043
102,WabasH,13032
103,QuilboarTTV,13021
104,Varncyfans,13020
105,ElStelzbocko,13016
106,viv86,13009
107,MaRiOsPrO,13002
108,tristrat,12944
109,yuguang,12931
110,Courage,12928
111,Vova,12896
112,Felstav,12896
113,酒馆岂是装逼之地,12871
114,leeeeeeroy,12861
115,Loiz,12846
116,Agator,12816
117,ChupinAlexey,12802
118,Montanaz0r,12795
119,乌镇舔龙,12786
120,BQB,12754
121,Att,12752
122,蓝桥风月,12740
123,LEHI4,12724
124,CherryWave,12719
125,SBackflip,12696
126,Latzinn,12693
127,Ar4i,12689
128,Hasenratte,12681
129,dmccabe,12660
130,IlDavis,12653
131,仙居呆呆兽,12638
132,DoozKawa,12601
133,z12voruj,12600
134,Mario68,12547
135,人阿,12546
136,kratosdigga,12546
137,Twitchchat,12540
138,fishou,12530
139,MikeyHalley,12506
140,Oscar,12491
141,Ennui,12489
142,IRONQ,12450
143,Ajaks,12433
144,JessePinkman,12405
145,Scorlio67,12405
146,Naisu,12400
147,SilverName1,12393
148,yangxulu,12390
149,酿酒师,12362
150,Chelibomber,12354
151,Koishi,12335
152,Kajgad,12332
153,MCCOOLCAT,12300
154,SHezhinka,12281
155,zer0Cachou,12245
156,deadline,12244
157,Pun,12230
158,Lydian,12229
159,SuperJJ,12228
160,visvim,12219
161,Abei,12218
162,暴雪的老父亲,12209
163,egoisto,12208
164,ShangHaiANiu,12206
165,RUSTLE,12184
166,JIM,12183
167,Conzo147,12178
168,Matsutake,12168
169,Comey,12161
170,Olinho,12161
171,Kriptix,12158
172,boaZ,12152
173,Agent37,12132
174,markus,12126
175,qwer,12124
176,Walterlele,12116
177,Yatech,12100
178,aRolfSovush,12085
179,stanley,12080
180,FrenzHS,12077
181,Kazuma,12066
182,rizdore,12060
183,Thunder,12059
184,akanastorm,12055
185,TPD11,12054
186,蓝色钥匙,12052
187,DoGBiscuit,12051
188,randombauer,12051
189,禿頂的橄欖色坦克,12044
190,Ortapepe,12041
191,Astrosfanrus,12040
192,SweetyMatt,12038
193,Darnell,12037
194,Bob,12034
195,Dgamer,12028
196,yerolo,12026
197,EducatedC,12023
198,POTATO,12019
199,ttrCasino,12015
200,Albertus,12007
201,hardgate,12004
202,ilydan,12003
203,ADVOCATE,12000
204,paiba666,11993
205,Zbynda,11989
206,МиниНиндзя,11986
207,Ticher,11970
208,itseturha,11955
209,NeuroBreak3,11953
210,you,11952
211,kropio,11944
212,Meeke,11935
213,GarnetThief,11924
214,星河,11907
215,萨比会发牌,11903
216,TouchMyBody,11893
217,CoralMage,11884
218,Beok,11867
219,SLAGATHOR,11864
220,Krebbo,11844
221,谷神未死,11840
222,Dantanmanu,11832
223,Shadoxic,11831
224,Turbon1ck,11829
225,Kusbara,11823
226,HiSoKaAa,11762
227,NitroNick,11760
228,GreaWW,11756
229,SellThisAcc,11743
230,maybe,11742
231,走起,11741
232,Filpek,11740
233,Ksedden,11736
234,Thorinq,11726
235,Sonya,11723
236,南方勇士,11721
237,leblanc7,11717
238,Jackal,11712
239,WISJSG,11711
240,HaapaE,11706
241,GroSSo,11705
242,Laxen,11705
243,succersn,11695
244,akanid,11662
245,Caileen,11656
246,高挑的灰色貓頭鷹,11654
247,ddddwdpol,11639
248,Amaretnas,11634
249,Jaksal,11633
250,jackcheng,11628
251,YUNDAMAWENQ,11619
252,Hinforsti,11616
253,plkmulxbbbn,11609
254,Wurick,11599
255,Ormendo,11598
256,GAP1698,11597
257,chill,11595
258,kyle,11590
259,Cocos,11589
260,Nightrain,11587
261,wzy,11574
262,OliHelland7,11571
263,KAISERSTEIN3,11570
264,Keyt228,11569
265,ashenone,11560
266,GOTOR8,11554
267,don,11553
268,Jojosebb,11552
269,DapperDan,11547
270,Ronsu,11543
271,Batu,11540
272,Tomso93,11540
273,Albidox,11534
274,Bushido,11533
275,woody,11523
276,TeTo27,11515
277,Freyja,11512
278,相遇天使,11509
279,zhngwu,11498
280,BECHA,11494
281,Raist,11480
282,Hotbunny,11476
283,hexur,11471
284,Höcker,11470
285,ROCKER11,11469
286,oroff,11459
287,Игрок,11449
288,Sukinoi,11448
289,guldregn,11447
290,tuV,11445
291,mattialbo02,11442
