rank,accountid,rating
292,Loiz,11701
293,Toinou,11691
294,Layko,11684
295,终成败寇,11683
296,anshiqin,11681
297,Bourbonkid,11680
298,Elementomega,11670
299,AzorkSnow,11666
300,wbsad,11666
301,genau,11658
302,helpme,11656
303,暴打呆呆兽,11636
304,Batu,11635
305,小黄鸭,11624
306,ElStelzbocko,11613
307,Dakew,11601
308,RareRabbit,11586
309,crauti,11584
310,Kariiwar,11584
311,silencefear,11581
312,沙比系統局,11580
313,Wurick,11580
314,卑劣的梅色幽靈,11579
315,TheLastIMP,11572
316,PoKair,11570
317,huyaGruve,11567
318,KONO29,11564
319,接續的鐵鏽色魔嬰,11564
320,wizzD,11562
321,Poskimasa,11561
322,kyle,11556
323,zingz,11554
324,Levusz,11551
325,浮生若梦,11548
326,Ticher,11546
327,Laxen,11542
328,Moshi,11540
329,GAP1698,11530
330,Fufong,11529
331,СтейсиСтас,11528
332,ttrCasino,11527
333,BenGoorYon,11527
334,wadeLuoni,11524
335,Medveba,11520
336,GiantDwarf,11511
337,Astrosfanrus,11511
338,Fawh,11509
339,Amaretnas,11509
340,nsdwdhit,11508
341,STAR,11507
342,Bobismyson,11503
343,Chaotic,11503
344,Pun,11501
345,iNfi,11499
346,Seamas,11480
347,xRealDiz,11477
348,AcornBrain,11468
349,Varncyfans,11465
350,EbonYeti,11456
351,facer,11454
352,waalispgm,11441
353,Kodzak,11430
354,Tedjuro,11429
355,StangAlley,11428
356,黑暗的梅色巫妖,11424
357,Detrimend,11423
358,Hector,11420
359,ЗаОрду,11418
360,Latzinn,11416
361,Lannister,11413
362,Mateuskov,11409
363,wedaboi,11403
364,Titanlezy,11398
365,Tschau,11398
366,Naisu,11385
367,Ko3bIPb03,11383
368,aRolfSovush,11382
369,ThiccAss,11382
370,qwerty,11380
371,KapteinKvarg,11373
372,胡桃的球迷,11369
373,Destroyer68,11365
374,Destag,11365
375,LekkerBartje,11362
376,Vanitylord,11359
377,Roflocopter,11355
378,闻松,11344
379,IlDavis,11340
380,Tonusu,11340
381,Abstraction,11339
382,swan,11336
