rank,accountid,rating
1,BeterBabbit,18374
2,FastEddieHS,18153
3,Waterloooooo,18003
4,HuyaMonkey,16800
5,Mykeke,16744
6,jeef,16596
7,Verspri,16497
8,newhero,16394
9,moyi,16346
10,hsmt,16266
11,wzy,16266
12,Ko3h,16254
13,thinkpeach,16047
14,DumplingDan,16033
15,Lyme,16028
16,dog,15730
17,mmf,15450
18,awedragon,15410
19,LIANG,15393
20,FirmBagels,15339
21,FrankLin,15314
22,米柚点甜,15108
23,华科丶别来诶院,15041
24,BenRen,15033
25,Crowgirl,15032
26,鲨鱼泡泡布鲁布鲁,15008
27,HuyaGuo,14917
28,goodjaz,14768
29,Asmodai,14760
30,Lii,14683
31,Bpgames,14644
32,herusia,14530
33,kikiattack,14505
34,FatherOfBob,14491
35,ネゲター,14460
36,diffROY,14362
37,Fighter,14262
38,Foooz,14214
39,mimi,14200
40,Annhy1de,14184
41,劉老師單身,14168
42,zlb,14146
43,大頭皮,14133
44,qwerty,14082
45,Alucard,14027
46,あばれるくん,14021
47,chenwenyu,14005
48,watermoon,14004
49,斯文禽兽,13965
50,YouLingSAMA,13922
51,itsdametime,13893
52,LiZi,13835
53,thra,13835
54,steyep,13808
55,Bofur,13737
56,cowboy,13687
57,TUANZI,13632
58,nukunukunuko,13631
59,haihu,13599
60,Driggles,13505
61,LuckySniper,13489
62,归程,13487
63,nightwalkdad,13475
64,SuperPants,13445
65,滑稽德魯伊,13441
66,Ness,13434
67,リュウ,13433
68,Mikoko,13411
69,Swayyy,13377
70,Hymn,13345
71,olayimon,13276
72,BerryBerry,13267
73,Berry,13257
74,ZHAO,13251
75,让花成花,13244
76,Fawh,13235
77,oljackburton,13216
78,neverland,13203
79,teeee,13195
80,JuiceAmongUs,13172
81,micc,13171
82,cowboy,13151
83,WobbleWeezy,13137
84,superjj,13117
85,Rice,13099
86,Lamb,13095
87,Guonade,13091
88,DonDon,13090
89,ChanTaLent,13071
90,cquhenkkz,13055
91,Huntressrose,13054
92,JvJnc,13039
93,Ethan,13031
94,Swiftwolf,13031
95,ngkmyechuan,13005
96,matt,13004
97,JashinChan,13001
98,Dragonfires,12962
99,kkmzd,12961
100,枫叶红了,12922
101,後来0,12914
102,Gin,12870
103,XUENAIYYDS,12869
104,Nodelay,12812
105,muera123,12811
106,moku,12778
107,zxcsed,12771
108,Curdy,12750
109,BoomMD,12742
110,Regicide,12723
111,Zevosse,12712
112,xiaoliaoo,12705
113,Tone,12703
114,GraveyardHS,12700
115,amvega,12696
116,枯燥的紫紅色貓咪,12661
117,HapaIsTilted,12660
118,澜澜,12636
119,swingslol,12621
120,EbonHydra,12588
121,Sexpert,12583
122,Ryan,12571
123,GAVI,12566
124,emiyak,12562
125,Spencerbot15,12558
126,AHRI,12557
127,シュカ,12551
128,Airy0,12514
129,Holst,12514
130,RUN,12504
131,Wtybill,12490
132,Zac,12473
133,潘教练,12459
134,IamnotFISH,12458
135,justfirst,12457
136,Arrow,12447
137,sadsadas,12432
138,babaOFYJYX,12402
139,Volibear,12386
140,Song,12375
141,しそわかめ,12356
142,疾风,12355
143,SuperBear,12354
144,LuckyCAO,12347
145,CokaKola,12329
146,KurtGuterres,12312
147,moyidenewnew,12291
148,An1honysch2,12286
149,Timetraveler,12281
150,lotteria,12278
151,OMG,12277
152,liusiqp,12276
153,BananaEgg,12275
154,SoTa,12270
155,malgebi,12249
156,Nightwalk,12248
157,LoOUuX,12246
158,LOY,12239
159,sadamu,12224
160,JustMissU,12222
161,AARON,12212
162,HapaBear,12211
163,Kulu,12209
164,bbbiiiggg,12209
165,LittleDove,12201
166,hoywaii,12197
167,kodbp,12189
168,自由落寞,12181
169,Strivesix,12168
170,merit,12165
171,Mikoto,12125
172,Brgod,12108
173,Laozhang91,12091
174,MaturePoop,12074
175,Blirby,12068
176,zhongwmwm,12066
177,Redk1ller,12052
178,bhasjkdh,12050
179,totota,12048
180,爆爆机器人,12029
181,lgdl,12028
182,波浪的摩卡色小狗,12027
183,zzZZZZZZ,12026
184,BeachBrain,12025
185,我是嫩爹,12023
186,Sobz,12022
187,kolooc,12021
188,Itim,12021
189,HitThatWKey,12008
190,hzzzz23,12007
191,Dreamer,12003
192,kokkolino,12000
193,靦腆的金色貓頭鷹,11996
194,TRoweses,11988
195,抖音黑酒,11985
196,MaRiOsPrO,11972
197,Blackangel,11970
198,MrIncredible,11966
199,djwcbbbb,11944
200,twitchmokxh,11914
201,Quentin,11906
202,AnthonyRitz,11877
203,SGLin,11870
204,flyingfish,11867
205,wlm,11867
206,UnIeveredTTV,11865
207,Baneswolfcry,11831
208,ColeTrain,11827
209,WUDI,11817
210,Canyon,11810
211,Imfiredup,11801
212,Zephyrs,11789
213,Mizore,11776
214,baenugget,11769
215,Nightrain,11758
216,Gorgon,11758
217,WumboStyle,11751
218,lvge,11747
219,BLZnmsl,11746
220,robertpeng,11737
221,renewal,11733
222,Lemontree,11728
223,小白,11721
224,四季ナツメ,11709
225,Deadlift,11702
226,Arbiter,11697
227,Lne,11689
228,djwcbCN,11682
229,niubiplus,11674
230,yuma,11672
231,DanBam,11668
232,jjb,11667
233,OIL1989,11667
234,Vivacious,11665
235,风中残烛,11632
236,FengShui,11622
237,kirin,11610
238,HonkeyMagoo,11595
239,smxunpmnn,11584
240,NyC,11581
241,Cherry,11574
242,bbbest,11570
243,Edward,11568
244,GAOSHAN,11552
245,RickSchim,11552
246,KwonYM,11549
247,SecondYe,11544
248,takamina,11544
249,ZeeJustin,11543
250,healbot,11523
251,Gura,11523
252,WILFRID,11522
