rank,accountid,rating
1,hsmt,18150
2,СтоякБезДела,18025
3,Slyders,17472
4,Bendrikus,17126
5,HuyaGuo,17085
6,Tume,17002
7,Леший,16985
8,MATIV,16582
9,Sevel,16388
10,BadCookie,16061
11,WabasH,16029
12,ArslanPozor,15902
13,guDDummit,15803
14,пронзаяДушу,15630
15,XQN,15494
16,BeNice,15459
17,Среброкрыл,15399
18,SuperJJ,15345
19,VladElisha,15328
20,Zorg,15264
21,Fawh,15210
22,calient,15119
23,cuckchromo47,15034
24,Felkeine,15034
25,Koshchei,14986
26,FEDOS,14928
27,huyaFritQN,14878
28,polskikabak,14778
29,justmastery,14734
30,jkirek,14681
31,Radiy,14664
32,HaapaE,14527
33,TigreSpettro,14428
34,VentoAureo,14176
35,Shadybunny,14166
36,Aladeer,14108
37,Cocos,14053
38,Meeke,14043
39,ExposingRDU,14028
40,Gospodar,14019
41,AxelDaBeast,14011
42,catlamity,14006
43,tristrat,14004
44,DoGBiscuit,14003
45,Shadoxic,13878
46,BaboFat,13812
47,Сергійко,13799
48,Doud78,13760
49,IRONQ,13665
50,Wurick,13648
51,King,13630
52,fcpopa,13593
53,Tera,13495
54,YayaFurer,13476
55,oliech,13449
56,kekandop,13445
57,KuositoVélez,13405
58,LEHI4,13403
59,Rdu,13375
60,OkabeRintaro,13357
61,Morozan,13337
62,GAP1698,13326
63,BabarPower,13310
64,ElStelzbocko,13302
65,ExposingJJ,13238
66,ixxdeee,13199
67,Darnell,13197
68,Skalmanleif,13193
69,Sinedd92,13178
70,Stromae,13175
71,Delpu,13169
72,Mario68,13122
73,AllenC,13098
74,MaRiOsPrO,13079
75,壞壞熊公仔,13078
76,Pyrok4,13055
77,Lydian,13052
78,much2pro4you,13036
79,succersn,13030
80,McFarquhar,13030
81,lagshya,13029
82,Montanaz0r,13026
83,n14,13023
84,Turna,13022
85,LowGree,13021
86,MDrugDealer,13018
87,akanid,13010
88,ravens52,13008
89,Saber,13004
90,Fritterus,12983
91,HGL223,12969
92,DoozKawa,12915
93,viv86,12914
94,Rem,12914
95,Cherkash,12901
96,Bnetplayer,12896
97,Goblack,12882
98,lulu,12850
99,FULLMASTER,12847
100,BCEMUDACHI,12832
101,ДобрыйЭэх,12831
102,LaKakaya,12795
103,Physikbar,12781
104,AvisRara,12728
105,mega,12706
106,Kodo,12697
107,STARIXONS,12691
108,Глеб,12688
109,QuilboarTTV,12679
110,Tschau,12644
111,Kheotz,12602
112,EgorooMew,12593
113,Latzinn,12585
114,Sukinoi,12579
115,FastEddieHS,12576
116,CheetahCat,12554
117,madd,12546
118,Regina,12525
119,Cytro,12516
120,СтейсиСтас,12459
121,Alacrity,12451
122,Rupertus,12400
123,Simon,12344
124,PBT,12324
125,Bob,12308
126,DuckFather,12264
127,GasPArtiste,12251
128,Despe,12245
129,いつもの,12237
130,iskrennost1,12229
131,MegaRDU,12227
132,Snooky,12205
133,gotenks5563,12186
134,TortueGénial,12182
135,Mathkb,12181
136,Barotz,12155
137,Sebi,12151
138,OPASANTA,12147
139,DeepSabbath,12139
140,VIKA,12129
141,manolis,12114
142,Slyp,12109
143,battaflooo,12083
144,iRossoneri,12080
145,SakJo,12072
146,Inopon,12064
147,HiSoKaAa,12058
148,Nauseabundo,12058
149,Amroth,12049
150,Dopamine,12045
151,tchu,12043
152,Bananabg,12038
153,Mortyprats,12038
154,egoisto,12036
155,Ortapepe,12030
156,Ledokol,12029
157,fishou,12018
158,Masteryellow,12014
159,Akisan,12013
160,IlDavis,12011
161,Magnefico,12008
162,lowerman,12002
163,GrumpyMonk,12001
164,TeRM1NaToR,12000
165,Yatech,11995
166,Archeron5842,11995
167,Alina,11981
168,SNEG,11956
169,Bahyatak,11952
170,dofmxakoxjh,11941
171,Bomjag,11937
172,杨总盐城法国人,11916
173,Kawazaki,11906
174,Xrimfff,11901
175,Suppenkelle,11897
176,Leoric,11897
