rank,accountid,rating
1,jeef,19018
2,HuyaGuo,18057
3,Waterloooooo,18045
4,BeterBabbit,17004
5,HuyaMonkey,16878
6,hsmt,16096
7,鲨鱼泡泡布鲁布鲁,16017
8,herusia,16009
9,moyi,15819
10,dog,15762
11,newhero,15707
12,TeTu,15637
13,YrXiaoT,15588
14,awedragon,15571
15,Power8,15299
16,LiZi,15244
17,Saya,15128
18,Lii,15070
19,Akari,15056
20,Nightwalk,15047
21,moyi,15033
22,华科丶别来诶院,15016
23,Bofur,15011
24,Alucard,15001
25,Lyme,14930
26,Lamb,14927
27,Ethan,14717
28,kokkolino,14708
29,jkirek,14684
30,Tume,14627
31,Sato9kado,14564
32,吊州吴彦祖,14556
33,Ko3h,14552
34,APPLE,14475
35,Mykeke,14449
36,LastAlastor,14394
37,BenRen,14368
38,FastEddieHS,14248
39,Gura,14192
40,xoner,14154
41,Driggles,14127
42,SaS,14099
43,koyomi,14039
44,玄之又玄,14034
45,babaOFYJYX,14033
46,CReaTe,14028
47,tlwknfhy,14018
48,moku,14002
49,lotteria,13977
50,Foooz,13946
51,kxlip,13918
52,CNwAxiaoMZi,13884
53,sadamu,13827
54,nukunukunuko,13754
55,Verspri,13734
56,SBKouShuang,13728
57,あばれるくん,13723
58,斯文禽兽,13711
59,maceinstein,13656
60,Guonade,13631
61,Eridemic,13622
62,puloof,13611
63,リュウ,13574
64,POM,13552
65,四季ナツメ,13549
66,Regicide,13534
67,Limitless,13526
68,Bluebeetle,13475
69,Pikaxu,13452
70,PigEightRule,13448
71,FPkZNlMY,13443
72,逸尘大宝贝儿,13436
73,completo,13432
74,ToumaKazusa,13428
75,FatherOfBob,13399
76,WobbleWeezy,13376
77,koi,13347
78,OrHb,13315
79,neverland,13311
80,Zen,13305
81,diffROY,13290
82,wzy,13266
83,Dilmulucky,13186
84,ucdchris,13186
85,AITUZ,13156
86,戴呆呆,13123
87,XUENAIYYDS,13096
88,HapaBear,13081
89,ceecee,13065
90,JashinChan,13062
91,kkmzd,13059
92,RichardG,13052
93,HapaIsTilted,13037
94,olayimon,13034
95,Mineokun,13010
96,moyidenewnew,13004
97,lovemoyi,12973
98,airz29227,12967
99,我的黑天,12935
100,テオ,12896
101,ngkmyechuan,12871
102,itsdametime,12866
103,Nightcity,12862
104,nightwalkdad,12860
105,Twinpiece,12839
106,MO1Daxiong,12835
107,Cherry,12817
108,Moling,12803
109,BLZnmsl,12782
110,Frogmore,12780
111,GraveyardHS,12779
112,Sameer,12767
113,qiangzibb,12758
114,HoGIJulian,12751
115,Comp1eXWir2,12745
116,medianaranja,12740
117,cowboy,12710
118,Poolday,12671
119,yechuishuaib,12658
120,FunkyPants,12653
121,Orca,12653
122,DumplingDan,12646
123,让花成花,12642
124,GTOVICTOR,12629
125,Mathematics,12625
126,cowboy,12615
127,Asmodai,12611
128,greed,12573
129,衣锦夜行大菜笔,12538
130,GoldenPants,12537
131,函函函,12517
132,salger,12493
133,mortal,12492
134,ぴり辛！,12473
135,Zergfire,12459
136,Mishi,12456
137,oddloop,12438
138,Pudding,12416
139,kikiattack,12412
140,Tone,12409
141,MrIncredible,12403
142,米柚点甜,12397
143,cureton,12359
144,ろりしょたあ,12322
145,蹦蹦騎士,12306
146,Jandtea,12291
147,Noobnoob,12281
148,imruixin,12270
149,caibill,12263
150,LuckyCAO,12254
151,Savage,12253
152,UnIeveredTTV,12249
153,Itim,12235
154,SaphirexX,12221
155,Dragonfires,12217
156,melody,12216
157,Alen,12206
158,maxyoyo,12194
159,野生のウィスプ,12193
160,囉嗦的墨色狼,12189
161,Magnechu,12185
162,Moorabi,12180
163,後来0,12162
164,cacascacsca,12158
165,SkyHighFan,12149
166,ly2323223,12146
167,Huntressrose,12141
168,Gaoqiqiang,12128
169,snowydave,12128
170,ayuan788,12099
171,JuiceAmongUs,12097
172,XGMA,12088
173,djwcb,12079
174,uranos,12075
175,mubai,12067
176,sadsadas,12058
177,justfirst,12056
178,Berry,12055
179,郝蔷,12052
180,,12045
181,Nodelay,12042
182,Arona,12034
183,POTIONSPEED,12033
184,cancanneed,12031
185,Yao,12028
186,yolo,12018
187,luckydog,12015
188,ByMe,12014
189,Azzinother,12012
190,nilsson,12009
191,AAAAAAAAAAA,12009
192,ayy,12008
193,るかちゃん,12006
194,oljackburton,12006
195,Leosky,11995
196,CHEEEEEESE,11992
197,Bernard,11982
198,波浪的摩卡色小狗,11976
199,liusiqp,11966
200,xijiaxia,11960
201,Liesicd,11959
202,OpenGod,11951
203,YangEr,11945
204,Chamber,11935
205,Nepes,11929
206,冷冰冰的咆哮魔,11925
207,SALAMANDAH,11914
208,godog,11911
209,Ding,11898
210,AARON,11896
211,Dango,11895
212,纯脑瘫,11893
213,Tokodachi,11847
214,Physikbar,11846
215,Yakiniku,11844
216,genshinboys,11829
217,OMG,11829
218,DJWCB,11810
219,Bishenke,11803
220,SuperBear,11799
221,LuckySniper,11798
222,DreamCreek,11775
223,DANSHAFAKER,11771
224,mwFAetM,11767
225,乌镇舔龙,11761
226,littleBlack,11748
227,O3O,11748
228,豆漿啦,11742
229,KINGSH1T,11737
230,Holst,11726
231,KurtGuterres,11722
232,Ryan,11720
233,Strivesix,11705
234,ovo,11694
235,Talos,11692
236,merit,11663
237,MPC,11650
238,Adrian,11644
239,Godgun,11643
240,pale,11643
241,LIANG,11637
242,Pick1,11633
243,Sternstunde,11629
244,溫和的酒色貓頭鷹,11612
245,ZXG,11605
246,erhswimming,11605
247,Walka,11603
248,anthonysch,11592
249,goodjaz,11577
250,Uzz,11575
251,rawnbrawn,11574
252,lvge,11569
253,hubeiVigo,11563
254,littlecat,11560
255,blaunelq,11557
256,JeefIsBaldin,11553
257,浊酒恋红尘,11547
258,mimi,11534
259,Swayyy,11517
260,MLS,11503
261,DrLazyEyes,11499
262,SugarFish,11499
263,CNcutyY,11498
264,Chimonaa1,11490
265,Leven,11488
266,LoOUuX,11481
267,Pocky,11479
268,JustMissU,11474
269,カツエさん,11465
270,unbasara,11465
271,SolarWind2,11455
272,DrMaoMao,11443
273,robertpeng,11441
274,Sobz,11435
275,rk9,11413
276,turtletom,11409
277,pikachu,11409
278,CNcutyLeo,11409
279,AyachiNene,11405
280,CtrlPaladin,11403
281,sootballz,11400
282,LOY,11392
283,IsMonsieur,11392
284,Jupiter,11389
285,mkn,11388
286,SoLInvictus,11383
287,Capzzj,11379
288,turbot,11378
289,Cantech,11378
290,Trudes,11375
291,AriesXu,11374
292,ERXI,11367
293,依然小泽,11361
294,wclzs,11355
295,PY1H,11353
296,HideInBush,11351
297,hoywaii,11348
298,抖音黑酒,11346
299,YTZMZ,11335
300,suiminD,11324
301,Mikoto,11322
302,MustardMoose,11316
303,Ben,11312
304,Anonymous,11301
305,Thrig,11299
306,Varncyfans,11295
307,sammy,11293
308,LIANG,11287
309,zichuanxiu,11284
310,orange,11282
311,WUDI,11281
312,衣锦夜行工作室,11268
313,Rogul,11266
314,Sean,11264
315,Mee,11262
316,シュカ,11261
317,BeachBrain,11260
318,Elementomega,11255
319,Bantam,11254
320,ben,11253
321,MrAmlice,11253
322,Blair,11235
323,EvilPanda,11235
324,MoralSupport,11234
325,SurfInStorms,11234
326,welljay,11228
327,Rekt,11228
328,Uzra,11227
329,灰夜三三,11224
330,sai,11218
331,ccuts996,11216
332,Ysta013,11208
333,QueSeraSera,11207
334,,11207
335,走夜路工作室,11204
336,aile,11203
337,迷惘成灾,11193
338,Lesmana,11189
339,EBFRLH11,11189
340,zhangsan,11187
341,Hybrid53,11173
342,Sohigh,11173
343,ZeroBeat,11168
344,自由落寞,11167
345,疾风,11165
346,Cleveland,11162
347,leon,11160
348,Deltron,11159
349,cxk,11156
350,Imfiredup,11155
351,HoJoSatoko,11155
352,Redk1ller,11143
353,,11140
354,Jacob,11139
355,Volibear,11137
356,FlexiO,11137
357,Boss,11125
358,蹦蹦炸蛋,11120
359,SoItSeemS,11115
360,超人阿光,11111
361,baenugget,11111
362,Mystic,11108
363,Mask,11103
364,natlog,11103
365,九把七鸡五连鸡,11100
366,Lance,11096
367,Bronzebeard,11096
368,Kuqo,11093
369,Laozhang91,11090
370,MFCLH,11088
371,王二狗,11086
372,Jia,11077
373,baobishabi,11074
374,靦腆的金色貓頭鷹,11073
375,ShadowTigris,11071
376,SillySheep,11071
377,Zonda,11071
378,KOQQQ,11067
379,Systematic,11065
380,BoomMD,11064
381,moyi,11048
382,Adventurer,11046
383,AresWang,11041
384,Goodman,11040
385,สมชาย,11038
386,torokeru,11037
387,CNcutyMaoGe,11037
388,Fazman03,11036
389,GrayGnoll,11034
390,Rubberduck,11033
391,djwcb,11031
392,HuYaSisyphus,11031
393,player,11027
394,niubiplus,11020
395,Knightmare,11019
396,Kinkade,11016
397,Smellyhead,11013
398,蚊蚊呐,11011
399,Mugiwara,11008
400,zen1703,11008
401,yunxiyanlan,11007
402,Ness,11007
403,Kaktus,11006
404,高挑的棕色蛟龍,11004
405,SmellyPanda,11004
406,Coldplay,11002
407,Sgtbrute,11002
408,JAC,11002
409,Desertbirds,11000
410,ColeTrain,10999
411,bvbat,10998
412,Curt,10996
413,bud,10994
414,EvilPotato,10994
415,爱本无言刺客,10992
416,dmckks,10989
417,geqian,10988
418,yort,10987
419,Deadlytr3,10983
420,coocood,10981
421,Myth,10979
422,Baneswolfcry,10974
423,bking,10970
424,halfrican,10969
425,Berkeleywae,10968
426,鲍勃的父,10964
427,tempo,10959
428,Buddmann31,10959
429,HyZaZuL,10949
430,darkside,10946
431,JerryL,10946
432,djwcbCN,10944
433,TheDohkolol,10942
434,Mikmik,10942
435,有点小帅,10941
436,DenSmith22,10938
437,Ali,10926
438,EliDawgie,10916
439,あーすなな,10912
440,Timelapse,10911
441,thrdi,10910
442,Stryphe,10909
443,Bpgames,10908
444,暴雪尼玛死了,10907
445,Stupazzz,10907
446,Karma,10904
447,Lumpy,10901
448,Vivacious,10896
449,Arbiter,10886
450,Wintersun,10884
451,R4ptur3,10884
452,ASeaUrchin,10882
453,cancanneed,10882
454,Lastrike,10881
455,jdxdds,10880
456,Beter28,10877
457,Hendrick,10876
458,OKdTB,10873
459,RELICSEA,10872
460,kolooc,10870
461,Giao,10870
462,巨型的石英色矮子,10867
463,BrownKodo,10864
464,DanHan,10861
465,DouvAndBeer,10860
466,Anthoneh,10860
467,盗墓贼,10859
468,GhstFaceKlla,10845
469,rewind,10833
470,tonizle,10830
471,hungry,10830
472,Marth,10825
