rank,accountid,rating
1,k3rsm,18482
2,Reangle,18233
3,haguren,17196
4,hsmt,16791
5,大頭皮,16668
6,エマノン,16537
7,MATSURI,16501
8,Yoshiyuki,16448
9,ふつーなやつ,16435
10,Alutemu,16337
11,torisan,16263
12,kuromatu,16241
13,Satellite,16236
14,実力の比嘉秀仁,16101
15,Plus,16004
16,嘉神川クロエ,16002
17,Aioisp,15778
18,Daisy,15686
19,ぎゃん,15657
20,bbqgg,15615
21,SeseiSei,15371
22,白うさ,15227
23,Thundurus,15218
24,SugoiDekai,15201
25,kei,15186
26,Nekopara,15062
27,BreakOutLYS,15052
28,岡野佳,15040
29,cogicorgi,15020
30,セムベル,15017
31,buhuidatuan,15005
32,世界,14944
33,HuyaGuo,14891
34,綜合水果武士,14730
35,sola,14438
36,wakka53,14412
37,patience,14304
38,あれっくす,14275
39,DuckDragon,14265
40,不思議なノーム,14232
41,ぬりっち,14212
42,flydxm,14077
43,Ponpata07,14068
44,tacos,14040
45,黃智沒,14030
46,MrFra,14010
47,カツエさん,14001
48,Z240,13905
49,勇ましき野獣,13799
50,ＳＮＳＤ,13670
51,居眠りシャーマン,13596
52,せいちゃん,13583
53,shizu,13537
54,AppleSD,13522
55,pqp,13413
56,Ryuzo,13387
57,こもぼう,13381
58,海藻糖,13375
59,Rookies,13369
60,狗子,13356
61,たけつ,13342
62,世界末日,13324
63,トーレス,13322
64,gaiabot,13286
65,Alice,13282
66,HUYAanbali88,13257
67,gangan,13237
68,抖音小齊,13225
69,你们搜吧我速八,13209
70,PapaJones,13189
71,bull,13173
72,integer,13171
73,dio,13137
74,有局丨亦思念,13133
75,Gura,13109
76,나뉴진스하니인데,13109
77,YJQwerty,13108
78,CReaTe,13100
79,MARUDETAKO,13060
80,GoodDay,13057
81,R998284,13044
82,整齊的單色老鷹,13034
83,잔양,13021
84,eeyan,13015
85,キジル博士,13014
86,iso,13008
87,torokeru,13003
88,またたび,13002
89,MT1,12922
90,hcj6388,12914
91,POZO,12909
92,ptf3434,12909
93,タワー,12908
94,Midor1,12883
95,AIMENG,12877
96,Daddy,12826
97,워터뱅크,12783
98,SagmeL,12752
99,あばれるくん,12750
100,Recule,12749
101,rocky,12717
102,noriha,12657
103,Hodo,12648
104,Roniefive,12646
105,吾輩最強丸,12645
106,小宇,12630
107,EMEm,12604
108,艾弗森,12576
109,ガッフェ,12572
110,XduDesperado,12571
111,JadeSeal,12516
112,BiLeE,12513
113,kio,12507
114,Meracle,12482
115,shu,12459
116,いかしたカエル,12459
117,Limitless,12441
118,みき,12434
119,hajimechan,12415
120,하스하는우비,12404
121,다람쥐장군,12394
122,SaberLily,12380
123,tori,12365
124,POTIONSPEED,12363
125,natsumewato,12357
126,パイロブラスト,12336
127,ばかじゃない,12329
128,yangyang,12329
129,燒鴨,12308
130,SilentStorm,12297
131,elb03d,12243
132,SaoKing,12236
133,DremnR,12235
134,daywater,12221
135,あまつか,12220
136,yoshi,12192
137,さっくん,12188
138,DINGZHEN,12185
139,心地よいワーム,12174
140,LoveAqua,12153
141,はと,12131
142,shanOz,12119
143,平ヒラー,12117
144,krop,12116
145,pon,12110
146,serve,12097
