rank,accountid,rating
1,BeterBabbit,18511
2,jeef,18150
3,herusia,17179
4,Waterloooooo,16844
5,mmf,16833
6,Tomura,16821
7,MMRloophole,16752
8,dog,16230
9,Lyme,15712
10,あばれるくん,15338
11,kokkolino,15164
12,FirmBagels,15147
13,thra,15091
14,huyaSword,15072
15,Lii,15054
16,Mikoko,14936
17,Bpgames,14824
18,awedragon,14758
19,Asmodai,14717
20,リュウ,14532
21,Lamb,14376
22,Alucard,14335
23,DumplingDan,14329
24,Sameer,14222
25,Itim,14198
26,maxyoyo,14196
27,让花成花,14182
28,ZoinhU,14091
29,Ryan,14014
30,HuyaMonkey,13820
31,amvega,13719
32,LavaWisp,13695
33,twitchmokxh,13681
34,Verspri,13603
35,Ness,13555
36,ToumaKazusa,13481
37,Ko3h,13417
38,wzy,13378
39,FrankLin,13339
40,メスイキドゥーム,13339
41,babyAna14n,13327
42,LiZi,13302
43,ロッゾ,13280
44,ネゲター,13278
45,moyi,13250
46,diffROY,13223
47,KurtGuterres,13209
48,Huntressrose,13201
49,moyidenewnew,13144
50,cowboy,13103
51,shadow,13090
52,cowboy,13076
53,Slikko,13073
54,Poolday,13068
55,Rechot,13056
56,YouLingSAMA,13051
57,MaturePoop,13047
58,Holst,13032
59,SWGreenTea,13028
60,tommyqiangge,13027
61,BeachBrain,13005
62,Sohigh,13004
63,SoItSeemS,12940
64,四季ナツメ,12905
65,kodbp,12903
66,Zorg,12866
67,Mykeke,12804
68,uranos,12770
69,Guonade,12767
70,BasedMST,12762
71,maceinstein,12673
72,吴伟杰,12616
73,Rikka,12601
74,LGDSGDai,12571
75,koi,12569
76,Foooz,12566
77,justfirst,12554
78,dcem,12552
79,totota,12485
80,Tume,12471
81,yjames27,12460
82,华科丶别来诶院,12456
83,healbot,12445
84,Baneswolfcry,12427
85,DrewIII,12425
86,Berry,12408
87,Laozhang91,12408
88,goodjaz,12405
89,MadHops,12402
90,inCense123,12394
91,lotteria,12393
92,LastAlastor,12388
93,Jeff,12387
94,peter,12386
95,newhero,12354
96,Lumpy,12342
97,Karin,12325
98,zxcsed,12322
99,BerryBerry,12321
100,Akari,12319
101,SBKouShuang,12311
102,Mee,12308
103,HitThatWKey,12273
104,birch2xT,12269
105,StageLucida,12259
106,dylleealt,12235
107,aadleezy,12215
108,Joocestain,12212
109,FatherOfBob,12201
110,Yurnero,12197
111,Bophades,12187
112,ucdchris,12186
113,jaekuN,12184
114,tonizle,12183
115,NegobrHotA,12176
116,Song,12173
117,tongni,12155
118,liusiqp,12147
119,Duongdaidot,12147
120,puloof,12142
121,Swiftwolf,12115
122,sydanten,12108
123,UnderShadow,12085
124,Wsbbbbb,12073
125,micc,12070
126,滑稽德魯伊,12061
127,peperon,12056
128,RickSchim,12052
129,muera123,12047
130,Anonymous,12040
131,Kisso,12034
132,Rice,12029
133,跳蛙四千加,12023
134,DapperDan,12010
135,GraveyardHS,12005
136,svatinus,12004
137,HapaBear,12000
138,Uzz,11999
139,大頭皮的無用老二,11994
140,merit,11977
141,Zevosse,11926
142,Mikmik,11886
143,HurryMyCurry,11879
144,Micahel,11877
145,MocoYI,11846
146,Wtybill,11846
147,POTIONSPEED,11840
148,Anthoneh,11833
149,ayy,11825
150,shadows797,11824
151,AceOfSpades,11820
152,Zeusmith,11806
153,Airy0,11786
154,Marth,11782
155,誠實的狗,11754
156,SJTULCW,11752
157,xsuper,11743
158,nilsson,11739
159,Deleuzer,11712
160,Stryphe,11700
161,antisocaile,11698
162,どろぽん,11695
163,JashinChan,11684
164,neverland,11681
165,CNcutyEshan,11656
166,SuperBear,11623
167,Gin,11620
168,Onetoomany,11614
169,Yun,11610
170,GoldenPants,11601
171,okeitzo,11597
172,ModusTrollen,11590
173,kkt,11580
174,itsdametime,11580
175,MoltenGames,11577
176,zz3o3zz,11575
177,Shizaki,11569
178,MFCLH,11561
179,Rorschach,11554
180,EbonThief,11524
181,สมชาย,11509
182,Davidhow,11509
183,MrIncredible,11500
184,songsongxian,11500
185,安妮亞的狗,11488
186,疾风,11481
187,cquhenkkz,11474
188,SuperPants,11471
189,幕遮,11469
190,Okkes,11466
191,FPkZNlMY,11465
192,Fortilux,11464
193,ODLI,11463
194,N0lan,11457
195,Kingdra,11453
196,Arona,11452
197,ChatonBrutal,11445
198,yechui,11433
199,ZipLoc,11429
200,fanchuancai,11421
201,Kami,11415
202,OIL1989,11413
203,BabyCC,11407
204,TUANZI,11405
205,Nickle,11402
206,ProcyonAB,11398
207,MTGfoLIFE,11398
208,OKdTB,11390
209,mathhabs,11377
