rank,accountid,rating
1,jeef,17034
2,HuyaGuo,17030
3,HuyaMonkey,16293
4,Waterloooooo,16180
5,YrXiaoT,16062
6,BeterBabbit,16034
7,moyi,16013
8,hsmt,16001
9,dog,15899
10,あれっくす,15736
11,GTOVICTOR,15539
12,SuperMickey,15492
13,herusia,15386
14,Mykeke,15344
15,SaoKing,15194
16,青锋,15155
17,awedragon,15107
18,LOUDER,15024
19,LiZi,14859
20,jkirek,14594
21,kokkolino,14458
22,Ko3h,14358
23,wzy,14299
24,Lii,14201
25,Lamb,14127
26,TeTu,14071
27,huyaSolitary,14047
28,Airy0,14040
29,Itim,14034
30,Tume,14026
31,Zen,14023
32,Nightwalk,14018
33,Pikaxu,14012
34,Bofur,14007
35,caibill,13932
36,ToumaKazusa,13824
37,huyagaoshou,13743
38,给你扣个6,13697
39,UnIeveredTTV,13697
40,GraveyardHS,13630
41,Ethan,13597
42,华科丶别来诶院,13506
43,lotteria,13462
44,BLZnmsl,13424
45,WobbleWeezy,13401
46,Lyme,13388
47,tlwknfhy,13316
48,玄之又玄,13308
49,Moling,13285
50,cowboy,13223
51,Verspri,13175
52,BenRen,13157
53,斯文禽兽,13147
54,ngkmyechuan,13121
55,MO1Daxiong,13108
56,greed,13090
57,ゆこてこ,13064
58,Mineokun,13059
59,卡卡非卡,13043
60,vansoro,13040
61,kuronagi,13025
62,LuckyAngus,13022
63,Huntressrose,13015
64,囉嗦的墨色狼,13011
65,ddduy,13009
66,蚊子的嘴,12960
67,kikiattack,12892
68,SaphirexX,12879
69,Riewel,12874
70,Shadybunny,12863
71,橙子,12828
72,viv86,12824
73,mimi,12814
74,HEROJIAO,12784
75,superjj,12776
76,北凉云长长,12767
77,qingfeng,12748
78,justfirst,12715
79,SuperStars,12699
80,kolostavrida,12688
81,Alen,12660
82,POM,12658
83,Alucard,12594
84,COOLGUY,12587
85,cowboy,12582
86,oldhero,12514
87,灰夜三三,12393
88,Akari,12381
89,Devote,12377
90,我的黑天,12360
91,dmckks,12345
92,hoywaii,12337
93,狗子,12333
94,Hofflehouses,12322
95,xoner,12291
96,让花成花,12269
97,ネゲター,12266
98,FastEddieHS,12243
99,依然小泽,12240
100,HapaBear,12232
101,Regicide,12187
102,Limitless,12173
103,QueSeraSera,12168
104,XAlter,12154
105,tonizle,12135
106,SevenLouis,12132
107,Engineerdog,12110
108,Dragonfires,12100
109,Bobismyson,12093
110,Frogmore,12089
111,Sameer,12072
112,JCSZ,12070
113,LastAlastor,12070
114,Eridemic,12069
115,cureton,12069
116,kkmzd,12060
117,Sirslim,12049
118,AITUZ,12047
119,Arceus,12044
120,Orca,12034
121,暮雨,12029
122,matt,12020
123,Arnold,12009
124,puloof,12005
125,shadow,12001
126,MustardMoose,11997
127,HoGIJulian,11986
128,JuiceAmongUs,11985
129,WingsOfDeath,11958
130,Belief,11918
131,woshihbhemwq,11918
132,Yellow,11916
133,EBFRLH11,11907
134,CNGFNO1,11903
135,Saya,11901
136,Yukino,11886
137,阿狸小子,11860
138,HuYaSisyphus,11820
139,Ryan,11808
140,cibudayi,11798
141,一夜4刺,11778
142,MrChen,11773
143,nukunukunuko,11765
144,FatherOfBob,11729
145,SkyHighFan,11725
146,LOY,11713
147,Stryder,11713
148,Twinpiece,11709
149,Driggles,11690
150,John,11679
151,morfim,11669
152,CHENMH,11662
153,Wulala,11656
154,sydanten,11641
155,Twanbon,11616
156,Mathematics,11608
157,Libido,11604
158,米柚点甜,11597
159,LuckySniper,11594
160,水瓶座,11578
161,YTZMZ,11565
162,抖音黑酒,11551
163,lqqqqwudi,11541
164,Mario,11524
165,ANATA,11516
166,amvega,11513
167,deadline,11511
168,ClemFandango,11511
169,medianaranja,11503
170,Rexxx,11494
171,梁瀬,11493
172,LuckyCAO,11491
173,NiTian,11484
174,RickSchim,11481
175,yangyang,11478
176,Vivacious,11472
177,cw2999,11470
178,TWTVioannn4,11462
179,あばれるくん,11461
180,pdmmmm,11444
181,kenan,11404
182,cloury,11402
183,ayy,11399
184,diffROY,11382
185,Fox,11377
186,uranos,11362
187,Bantam,11348
188,zosan,11331
189,Chimonaa1,11330
190,Syhink,11320
191,chyang,11302
192,Tinycloud,11275
193,DarkHonor,11273
194,flymoon,11272
195,好运长在,11269
196,DJWCB,11266
197,Moocowalex,11258
198,Wtybill,11251
199,TsingYi,11241
200,MiaoShuHan,11232
201,Mikoto,11220
202,hybRid,11212
203,LegendGonti,11209
204,Phan,11205
205,ucdchris,11204
206,ruweizhi,11199
207,Lilac,11172
208,Uzz,11169
209,vonhust,11165
210,Czar,11151
211,Bluecow,11149
212,China,11144
213,Zergfire,11138
214,MO0,11135
215,Cherry,11132
216,SBKouShuang,11123
217,kieeee,11120
218,GamingGrampa,11114
219,gary,11112
220,JustMissU,11105
221,RichardG,11102
222,Guonade,11098
223,GoldenPants,11097
224,Kun,11095
225,djwcbCN,11070
226,Sincerely,11069
227,leon,11063
228,澜澜,11062
229,LiXiang,11057
230,ggglll,11046
231,Magnechu,11041
232,ete,11040
233,Soteca,11040
234,接續的鐵鏽色魔嬰,11035
235,koyomi,11022
236,RELICSEA,11018
237,灯篭丸,11007
238,走夜路工作室,11006
239,Yoyo,11003
240,qqr,10997
241,ST08616,10990
242,夜不倾城,10989
243,逸尘大宝贝儿,10984
244,南海奇皇,10983
245,纯脑瘫,10982
246,Fullmoonuu,10960
247,salger,10958
248,西片,10958
249,自由落寞,10957
250,BabyCC,10954
251,KaTaGi,10945
252,Phyic,10924
253,午夜小姜,10912
254,Dance,10908
255,Dango,10907
256,Crazyjava,10900
257,Masaya,10871
258,Greed,10861
259,juji,10852
260,Mugiwara,10849
261,Wintersun,10845
262,Jab,10839
263,SHIBALSEKI,10831
264,QiYuSAMA,10828
265,qddawqfwe,10826
266,Tension,10826
267,gwgjow,10823
268,Leosky,10822
269,EvilPotato,10818
270,EliDawgie,10816
271,oucai,10812
272,Matthew,10807
273,huahua,10804
274,micc,10802
275,ShinyToast,10797
276,GAMER1005,10794
277,AYAYA,10794
278,computer,10773
279,JimBoSlice,10770
280,billmack,10767
281,yuma,10766
282,HiOO,10762
283,GhstFaceKlla,10759
284,neverland,10757
285,蓝色海鱼,10747
286,蚊蚊呐,10743
287,weixie,10743
288,Howell,10741
289,olayimon,10736
290,Jandtea,10733
291,Etude,10733
292,fanchuancai,10720
293,yort,10716
294,JuicySausage,10705
295,Nyanmaru,10699
296,kolooc,10688
297,JaqueeS,10688
298,瓦三对,10678
299,Excalibur,10677
300,cloud,10673
301,Kinkade,10670
302,Hashirama,10667
303,Sovereign,10664
304,NoahVH,10659
305,Pug,10653
306,Tone,10648
307,reonet71,10639
308,MrLHD,10634
309,DOUYU9363689,10627
310,Leo,10625
311,Lemontree,10624
312,reichiyarare,10623
313,CNycc,10617
314,LostXin,10613
315,Girasol,10613
316,xxzxl,10609
317,Demorphed,10605
318,oribe,10605
319,polop1,10603
320,远道,10594
321,halfrican,10593
322,babyAna14n,10591
323,Poolday,10589
324,IGPAOPAO,10587
325,Laozhang91,10585
326,erhswimming,10584
327,AAAAAAAAAAA,10583
328,Sproink,10571
329,MrZ,10570
330,BoomMD,10569
331,liferitual,10567
332,twitchmokxh,10565
333,SuperBear,10564
334,maceinstein,10564
335,cogicorgi,10544
336,Amon,10535
337,Gin,10530
338,Aleph,10529
339,MISHI,10528
340,Noobnoob,10520
341,josie,10516
342,turbot,10515
343,季谙,10514
344,Laoziwudi,10511
345,JerryL,10507
346,Kaloz,10506
347,yolo,10505
348,maybemoyi,10503
349,布伦希尔德,10500
350,cacy,10498
351,Deiz,10495
352,sadamu,10486
353,Lush,10476
354,epthopper,10474
355,Vin,10469
356,WagyuUni,10464
357,Zevosse,10463
358,Karin,10459
359,ele6,10456
360,ThugLife,10455
361,ABman,10454
362,moonshake,10452
363,Leonblack,10450
364,Haita,10449
365,MagicPants,10431
366,Golbez,10431
367,thenud1st,10429
368,glmlaiy,10428
369,zhuifeng,10428
370,後来0,10425
371,yiran,10421
372,hatate,10417
373,WildPants,10416
374,AkumaFox,10414
375,等风来,10412
376,Nujabeez,10410
377,Flashparker,10409
378,Yugi,10406
379,noeL,10404
380,,10402
381,Boon,10402
382,mrtyrmystry,10399
383,稻妻小太妹,10397
384,keromon,10392
385,ccuts996,10391
386,Arkeptryx,10376
387,Zyst,10374
388,Bear,10372
389,SurfInStorms,10371
390,Nightrain,10368
391,rosici07,10365
392,Meldrick,10364
393,nusen,10361
394,Shuckle,10352
395,badmadguy,10350
396,EbonMoose,10349
397,守着她的夜晚,10341
398,AARON,10341
399,大刀,10339
400,littleBlack,10329
401,ZHAO,10328
402,ぴり辛！,10326
403,ewaqa,10326
404,NARUTOSCY,10325
405,CNTakaKatô,10318
406,Joolz,10313
407,edvango,10311
408,Dreamberg,10311
409,HOlly,10309
410,pongwu,10307
411,Newbee,10306
412,Yao,10305
413,krownmeking,10305
414,zichuanxiu,10303
415,MaturePoop,10301
416,SaS,10298
417,Fresh,10296
418,十一,10295
419,OIL1989,10295
420,liuluoyu,10292
421,Letting,10292
422,Hooktusk,10289
423,ByeByePavel,10289
424,LoOUuX,10289
425,いっち,10288
426,JohnJohn,10287
427,GomuGomu,10287
428,zapp,10285
429,CNcutySssccc,10282
430,Calnoc,10278
431,巨型矮人,10276
432,qwerty,10275
433,whoray,10273
434,tacos,10266
435,LIFESGOOD,10260
436,雾若翎,10258
437,Etoce,10258
438,fengbujue,10254
439,周周,10253
440,Sweet,10251
441,Bean,10250
442,haihu,10243
443,ふじ,10237
444,Mewwy,10236
445,sdasd,10235
446,LyuYng,10234
447,perochan,10226
448,Kamira,10225
449,maxyoyo,10224
450,爱与责任,10214
451,SmellyPanda,10214
452,zero,10212
453,romayueti,10212
454,るかちゃん,10208
455,YuZe,10206
456,forever,10205
457,FengShui,10205
458,函函函,10203
459,Smeak,10201
460,Sblounskched,10199
461,zxcsed,10198
462,Vans,10195
463,Waley,10191
464,MB29G7,10190
465,Cakes,10189
466,CNqiaoshen,10180
467,slacker,10178
468,loafsy,10177
469,OpenGod,10174
470,sadsadas,10174
471,CNboy,10173
472,Burstinn,10171
473,無聊的梅色熊,10164
474,dadanmoyi,10163
475,Tokodachi,10150
476,suan666,10149
477,nadia,10149
478,LastTom,10145
479,跳蛙四千加,10137
480,woocyj,10133
481,insaine22,10130
482,justlook,10125
483,jojo,10122
484,cuteonly,10121
485,ovo,10119
486,FJJ12581,10112
487,ColeTrain,10111
488,unbasara,10110
489,bob,10106
490,enjoythelife,10106
491,Summer,10103
492,Tian,10095
493,IKUN,10095
494,鸡你太美,10094
495,HenrySun,10093
496,Remix,10092
497,SoulofBlood,10090
498,fazookie,10087
499,qinyiyi,10081
500,木兰花树,10079
501,Venom,10079
502,Peekaboo,10077
503,巨大的單寧色鯊魚,10075
504,Goodman,10075
505,Desertbirds,10075
506,JonyZ,10067
507,BlackMarch,10061
508,ZGFuJIAN,10060
509,Steineinein,10059
510,KOQQQ,10058
511,Yechui810975,10058
512,Lightindream,10057
513,okeitzo,10057
514,Deadlytr3,10056
515,moyi,10055
516,ctrl,10055
517,xihuan,10053
518,CobaltBlue,10052
519,noya,10051
520,StageLucida,10045
521,changheluori,10044
522,LordofMath,10043
523,多多,10043
524,Bobo,10043
525,枯燥的紫紅色貓咪,10043
526,Nzo,10043
527,みず,10042
528,Nmm,10042
529,kuromatu,10041
530,Coookiemonst,10041
531,reachthetop,10040
532,ronaldo,10039
533,SamCCTr,10039
534,BeachBrain,10039
535,Lose,10038
536,austin,10037
537,zogerreng,10037
538,蔡鸾羽,10036
539,Fivethree,10035
540,冷布衣,10034
541,Nero,10033
542,Grif,10032
543,MadMac,10031
544,Timelord944,10030
545,Loyalty,10030
546,Spaceman,10030
547,Griddion,10029
548,YoungPickles,10027
549,MiracleKat,10026
550,runaren,10026
551,夜阑,10026
552,燚龘,10025
553,seiger,10025
554,oosaki1man,10024
555,Excalibur,10024
556,Pokkin,10023
557,shenxianyong,10021
558,ptskqqxlcs,10021
559,Weatherlight,10020
560,LimpKing,10019
561,MouHou,10018
562,SuYix,10018
563,abandon,10015
564,HandOfBlue,10015
565,Nzo,10014
566,ぬりっち,10013
567,SnakeAzkusa,10012
568,Rose,10011
569,Shadows,10011
570,Xiai,10010
571,MaoMiYueGod,10010
572,Pink,10009
573,Roman,10009
574,MoonEevee,10008
575,akane,10007
576,Chedica,10007
577,Mindora,10005
578,peperon,10003
579,金卡戴珊,10003
580,Teke,10003
581,charlie,10003
582,MatCha,10001
583,Anye,10000
584,dazhong,9982
585,BigEpod,9976
586,Euforeah,9972
587,終極之豬皮,9968
588,ductrinh999,9965
589,nightwalkdad,9963
