rank,accountid,rating
1,LOUDER,17112
2,jeef,17022
3,Tume,16510
4,XQN,16431
5,wszba,16254
6,sola,16220
7,Agamaggan,16212
8,huyagaoshou,16211
9,ZengKa,15844
10,huyaVv,15813
11,BoardKing,15761
12,Zorg,15577
13,Maverick,15472
14,TeZcat,15452
15,xixiha,15433
16,惡魔蘋果,15254
17,Spidy,15171
18,LiZi,15142
19,Slyders,15136
20,guDDummit,15107
21,Cytro,15055
22,Bendrikus,15033
23,DayWeen,15014
24,zhongwmwm,15008
25,QuilboarTTV,14901
26,viv86,14881
27,naylek,14875
28,newhero,14551
29,Inferno,14511
30,huyaSword,14428
31,zed,14415
32,SuperJJ,14377
33,Šnusmümriken,14367
34,helpme,14086
35,不负月烨不负歆,14044
36,kaito1412,14041
37,Petro,14026
38,VladElisha,14026
39,yangyang,14005
40,Леший,13898
41,IRONQ,13864
42,Felkeine,13857
43,Tera,13786
44,Sevel,13762
45,Cure,13757
46,oliech,13750
47,Shadybunny,13743
48,Fritterus,13703
49,Yonaksen,13682
50,吊州吴彦祖,13678
51,BaboFat,13678
52,暗影飛龍,13453
53,megusto,13440
54,Budilicious,13408
55,Warmstorm,13324
56,VentoAureo,13320
57,OldRegon,13287
58,Xixo,13227
59,iGXc,13213
60,QuartzBat,13196
61,Sinedd92,13189
62,GAP1698,13169
63,Turna,13116
64,TaiwanChina,13104
65,九条美姬萧容鱼,13093
66,DJWCB,13091
67,Happy,13059
68,Anity,13049
69,XDV1906,13044
70,DZCWADLN,13030
71,Montanaz0r,13030
72,壞壞熊公仔,13020
73,Deedrayn,13019
74,Tristeanima,13014
75,XiuShen,13005
76,Pierronulli,12975
77,BCEMUDACHI,12960
78,Doud78,12940
79,turtletom,12939
80,Rdu,12922
81,Pun,12918
82,七只羊,12900
83,tchu,12855
84,ShangHaiANiu,12847
85,Thund3r,12826
86,Nvrmd,12818
87,巨型的淺褐色法師,12811
88,wtybill,12802
89,kunlxo,12790
90,dmccabe,12786
91,仙居呆呆兽,12734
92,Mario68,12733
93,Nero,12703
94,lagshya,12690
95,ashenone,12665
96,Imbajimba,12642
97,zer0Cachou,12632
98,saiggo16,12621
99,MakeItPure,12574
100,boaZ,12568
101,ixxdeee,12549
102,Thorinq,12549
103,酒馆岂是装逼之地,12517
104,thefinalzero,12507
105,Agent37,12497
106,wystanich,12492
107,Rafool,12490
108,sharp,12485
109,Scoobcats,12447
110,BingChilling,12441
111,Dare,12423
112,Laxen,12423
113,EllexaFlora,12417
114,Unbelievable,12405
115,Tyler,12403
116,Krebbo,12396
117,ethaqnix,12388
118,johnnyboy,12364
119,Shadow,12344
120,Suppenkelle,12322
121,Banishment,12313
122,chips,12292
123,flowercat,12288
124,Alvarez,12249
125,XiaoTuDou,12242
126,omen,12233
127,LeiO,12230
128,LekkerBartje,12219
129,Maimt,12210
130,CarryPotter,12210
131,yipengjiuhu,12196
132,iNpG,12195
